"Candidate","Party","Votes","State","Const"
"MAHESH SINGH YADAV","Janata Dal  (United)",6506,"Jharkhand","Jharkhand - Chatra"
"SAGAR RAM","Akhil Bharat Hindu Mahasabha",6505,"Jharkhand","Jharkhand - Chatra"
"CHANDRADEO THAKUR","Socialist Party (India)",6504,"Jharkhand","Jharkhand - Chatra"
"MISTAR ALAM ASRAFEE","Rashtriya Jankranti Morcha",6503,"Jharkhand","Jharkhand - Chatra"
"ANIL KUMAR ORAON","Independent",3714,"Jharkhand","Jharkhand - Chatra"
"ASHISH BHUSHAN PATHAK","Independent",6499,"Jharkhand","Jharkhand - Chatra"
"ROBIN SINGH","Independent",3558,"Jharkhand","Jharkhand - Chatra"
"None of the Above","None of the Above",1666,"Jharkhand","Jharkhand - Chatra"
"RAVINDRA KR. RAY","Bharatiya Janata Party",6519,"Jharkhand","Jharkhand - Kodarma"
"RAJKUMAR YADAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",6518,"Jharkhand","Jharkhand - Kodarma"
"PRANAV KUMAR VERMA","Jharkhand Vikas Morcha (Prajatantrik)",6514,"Jharkhand","Jharkhand - Kodarma"
"TILAKDHARI PD SINGH","Indian National Congress",6523,"Jharkhand","Jharkhand - Kodarma"
"NAJRUL HASSAN HASHMI","AJSU Party",6517,"Jharkhand","Jharkhand - Kodarma"
"KANCHAN KUMARI","Independent",6516,"Jharkhand","Jharkhand - Kodarma"
"KRISHNA SINGH","Janata Dal  (United)",6515,"Jharkhand","Jharkhand - Kodarma"
"MANJU KUMARI","All India Trinamool Congress",6513,"Jharkhand","Jharkhand - Kodarma"
"BISHESHWAR PRASAD","Bahujan Samaj Party",6512,"Jharkhand","Jharkhand - Kodarma"
"VIJAY KUMAR CHOURASIYA","Aam Aadmi Party",6511,"Jharkhand","Jharkhand - Kodarma"
"SHIVANATH SAV","Independent",6510,"Jharkhand","Jharkhand - Kodarma"
"JAIDEO CHAUDHARY","Samajwadi Party",6528,"Jharkhand","Jharkhand - Kodarma"
"RAGHUNANDAN PRASAD VISHWAKARMA","All India Forward Bloc",6527,"Jharkhand","Jharkhand - Kodarma"
"DR. SURAJ MANDAL","Jharkhand Vikas Dal",6526,"Jharkhand","Jharkhand - Kodarma"
"RAMESHWAR PRASAD YADAV","Independent",6524,"Jharkhand","Jharkhand - Kodarma"
"MAHENDRA RAVIDAS","Bahujan Mukti Party",378,"Jharkhand","Jharkhand - Kodarma"
"PHALJIT MAHTO","Independent",6522,"Jharkhand","Jharkhand - Kodarma"
"YOGENDRA RAM","Akhil Bharatiya Jan Sangh",6521,"Jharkhand","Jharkhand - Kodarma"
"MD. JALIL ANSARI","National Loktantrik Party",6520,"Jharkhand","Jharkhand - Kodarma"
"MANOJ KUMAR","Independent",421,"Jharkhand","Jharkhand - Kodarma"
"None of the Above","None of the Above",6525,"Jharkhand","Jharkhand - Kodarma"
"RAVINDRA KUMAR PANDEY","Bharatiya Janata Party",6533,"Jharkhand","Jharkhand - Giridih"
"JAGARNATH MAHTO","Jharkhand Mukti Morcha",6531,"Jharkhand","Jharkhand - Giridih"
"SABA AHMAD","Jharkhand Vikas Morcha (Prajatantrik)",6538,"Jharkhand","Jharkhand - Giridih"
"UMESH CHANDRA MEHTA","AJSU Party",6537,"Jharkhand","Jharkhand - Giridih"
"JALESHWAR MAHATO","Janata Dal  (United)",6534,"Jharkhand","Jharkhand - Giridih"
"SANJEEV KUMAR MAHATO","Independent",6530,"Jharkhand","Jharkhand - Giridih"
"ASHUTOSH VERMA","All India Trinamool Congress",6529,"Jharkhand","Jharkhand - Giridih"
"GURJEET SINGH","Aam Aadmi Party",6541,"Jharkhand","Jharkhand - Giridih"
"DILIP KR RAJAK","Independent",6540,"Jharkhand","Jharkhand - Giridih"
"KARTIK MAHTO","Bahujan Samaj Party",6539,"Jharkhand","Jharkhand - Giridih"
"SOHRAB SHAH","Bahujan Mukti Party",6536,"Jharkhand","Jharkhand - Giridih"
"BIDESHI MAHTO","Jharkhand Disom Party",2117,"Jharkhand","Jharkhand - Giridih"
"SHIVA MAHTO","Independent",6532,"Jharkhand","Jharkhand - Giridih"
"SAJJADUR RAB HASAMI","Independent",4667,"Jharkhand","Jharkhand - Giridih"
"SANJEEV KUMAR SINHA","All India Forward Bloc",5853,"Jharkhand","Jharkhand - Giridih"
"JEETENDRA KUMAR","Samajwadi Party",4356,"Jharkhand","Jharkhand - Giridih"
"MRINAL KANTI DEV","Socialist Party (Lohia)",2190,"Jharkhand","Jharkhand - Giridih"
"None of the Above","None of the Above",6535,"Jharkhand","Jharkhand - Giridih"
"PASHUPATI NATH SINGH","Bharatiya Janata Party",6551,"Jharkhand","Jharkhand - Dhanbad"
"AJAY KUMAR DUBEY","Indian National Congress",6546,"Jharkhand","Jharkhand - Dhanbad"
"ANAND MAHATO","Marxist Co-Ordination",6542,"Jharkhand","Jharkhand - Dhanbad"
"SAMARESH SINGH","Jharkhand Vikas Morcha (Prajatantrik)",6557,"Jharkhand","Jharkhand - Dhanbad"
"CHANDRA SHEKHAR DUBEY","All India Trinamool Congress",6547,"Jharkhand","Jharkhand - Dhanbad"
"HEMLATA S. MOHAN","AJSU Party",6545,"Jharkhand","Jharkhand - Dhanbad"
"DR. KRISHNA CHANDRA SINGHRAJ","Independent",6544,"Jharkhand","Jharkhand - Dhanbad"
"RAMA KANT VERMA","Aam Aadmi Party",6556,"Jharkhand","Jharkhand - Dhanbad"
"HIRALAL SANKHWAR","Jharkhand Party",6555,"Jharkhand","Jharkhand - Dhanbad"
"MADAN MOHAN RAM","Bahujan Samaj Party",6554,"Jharkhand","Jharkhand - Dhanbad"
"GANPAT MAHTO","Independent",6552,"Jharkhand","Jharkhand - Dhanbad"
"KISHOR KUMAR MURMU","Bahujan Mukti Party",3958,"Jharkhand","Jharkhand - Dhanbad"
"AKLU RAM MAHTO","Samajwadi Party",3238,"Jharkhand","Jharkhand - Dhanbad"
"RITU RANI SINGH","Independent",6550,"Jharkhand","Jharkhand - Dhanbad"
"MANTOSH KUMAR MANDAL","Amra Bangalee",6549,"Jharkhand","Jharkhand - Dhanbad"
"AHMAD HUSSAIN ANSARI","Jharkhand Disom Party",3342,"Jharkhand","Jharkhand - Dhanbad"
"MD. ZUBAIR","All India Minorities Front",244,"Jharkhand","Jharkhand - Dhanbad"
"GAUTAM KUMAR MAHATO","Independent",6548,"Jharkhand","Jharkhand - Dhanbad"
"JAYANT PANDEY","All India Forward Bloc",3174,"Jharkhand","Jharkhand - Dhanbad"
"SUMAN BANERJEE","Independent",2615,"Jharkhand","Jharkhand - Dhanbad"
"RAMESH BHARATI","Independent",2606,"Jharkhand","Jharkhand - Dhanbad"
"MANILAL MAHTO","Independent",5017,"Jharkhand","Jharkhand - Dhanbad"
"VIJAY KANT MISHRA","Independent",3100,"Jharkhand","Jharkhand - Dhanbad"
"RANBIR SINGH","Independent",2353,"Jharkhand","Jharkhand - Dhanbad"
"MUNSHI HEMBRAM","Independent",2663,"Jharkhand","Jharkhand - Dhanbad"
"BINOD SINGH","Independent",2088,"Jharkhand","Jharkhand - Dhanbad"
"PARSHURAM PASWAN","Independent",1629,"Jharkhand","Jharkhand - Dhanbad"
"PREM PRAKASH PASWAN","Independent",1547,"Jharkhand","Jharkhand - Dhanbad"
"TARCH MURMU","Independent",6543,"Jharkhand","Jharkhand - Dhanbad"
"RAMESH KUMAR RAY","Independent",1892,"Jharkhand","Jharkhand - Dhanbad"
"PAWAN MAHATO","Independent",4554,"Jharkhand","Jharkhand - Dhanbad"
"None of the Above","None of the Above",6553,"Jharkhand","Jharkhand - Dhanbad"
"RAM TAHAL CHOUDHARY","Bharatiya Janata Party",6566,"Jharkhand","Jharkhand - Ranchi"
"SUBODH KANT SAHAY","Indian National Congress",6562,"Jharkhand","Jharkhand - Ranchi"
"SUDESH KUMAR MAHTO","AJSU Party",6560,"Jharkhand","Jharkhand - Ranchi"
"AMITABH CHOUDHARY","Jharkhand Vikas Morcha (Prajatantrik)",6568,"Jharkhand","Jharkhand - Ranchi"
"BANDHU TIRKEY","All India Trinamool Congress",6567,"Jharkhand","Jharkhand - Ranchi"
"VIKAS CHANDRA SHARMA","Communist Party of India (Marxist-Leninist) Red Star",6561,"Jharkhand","Jharkhand - Ranchi"
"RAJENDRA SINGH MUNDA","Communist Party of India  (Marxist)",6558,"Jharkhand","Jharkhand - Ranchi"
"AMANULLAH","Aam Aadmi Party",6570,"Jharkhand","Jharkhand - Ranchi"
"KAFILUR RAHMAN","Independent",5989,"Jharkhand","Jharkhand - Ranchi"
"YUGESHWAR MARAR ""DEEN""","Manav Mukti Morcha",6565,"Jharkhand","Jharkhand - Ranchi"
"MAN SINGH MARDI","Jharkhand Party  (Naren)",2496,"Jharkhand","Jharkhand - Ranchi"
"RAM LAL MAHTO","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",5563,"Jharkhand","Jharkhand - Ranchi"
"SURESH TOPPO","Jharkhand Disom Party",434,"Jharkhand","Jharkhand - Ranchi"
"BAHADUR  URAON","Communist Party of India  (Marxist-Leninist)  (Liberation)",6222,"Jharkhand","Jharkhand - Ranchi"
"RANJIT MAHTO","Bahujan Mukti Party",6564,"Jharkhand","Jharkhand - Ranchi"
"LAL JOTINDRA DEV","Akhil Bhartiya Jharkhand Party",937,"Jharkhand","Jharkhand - Ranchi"
"BALRAM KUMAR BEDIA","Independent",6563,"Jharkhand","Jharkhand - Ranchi"
"DURGA MUNDA","Bahujan Samaj Party",1274,"Jharkhand","Jharkhand - Ranchi"
"SAJIYA HAIDAR","Independent",2323,"Jharkhand","Jharkhand - Ranchi"
"BISHESHWAR MAHTO","Samata Party",3281,"Jharkhand","Jharkhand - Ranchi"
"ARSAD AYUB","Independent",1789,"Jharkhand","Jharkhand - Ranchi"
"AMIT KUMAR SINGH","Independent",4263,"Jharkhand","Jharkhand - Ranchi"
"CHINTAMANI MAHTO","Independent",402,"Jharkhand","Jharkhand - Ranchi"
"THADDEUS LAKRA","Independent",3694,"Jharkhand","Jharkhand - Ranchi"
"BIRENDRA KUMAR JAISWAL","Independent",3208,"Jharkhand","Jharkhand - Ranchi"
"RAMPODO MAHTO","Independent",5314,"Jharkhand","Jharkhand - Ranchi"
"ANJANI PANDEY","Independent",398,"Jharkhand","Jharkhand - Ranchi"
"ABUL HASAN","Independent",6559,"Jharkhand","Jharkhand - Ranchi"
"None of the Above","None of the Above",6569,"Jharkhand","Jharkhand - Ranchi"
"BIDYUT BARAN MAHATO","Bharatiya Janata Party",6580,"Jharkhand","Jharkhand - Jamshedpur"
"AJAY KUMAR","Jharkhand Vikas Morcha (Prajatantrik)",6575,"Jharkhand","Jharkhand - Jamshedpur"
"NIROOP MAHANTY","Jharkhand Mukti Morcha",6572,"Jharkhand","Jharkhand - Jamshedpur"
"ANGAD MAHATO","Amra Bangalee",6571,"Jharkhand","Jharkhand - Jamshedpur"
"KUMAR CHANDRA MARDI","Aam Aadmi Party",6584,"Jharkhand","Jharkhand - Jamshedpur"
"OM PRAKASH ANAND","Independent",6583,"Jharkhand","Jharkhand - Jamshedpur"
"MOBIN KHAN","Independent",5734,"Jharkhand","Jharkhand - Jamshedpur"
"JOSAI MARDI","Rashtriya Deshaj Party",6582,"Jharkhand","Jharkhand - Jamshedpur"
"DINESH MAHATO","Independent",6581,"Jharkhand","Jharkhand - Jamshedpur"
"SEKH AKHIRUDDIN","Jharkhand Party  (Naren)",4450,"Jharkhand","Jharkhand - Jamshedpur"
"DAMAN CHANDRA BHAKAT","Bahujan Samaj Party",6579,"Jharkhand","Jharkhand - Jamshedpur"
"HARI ORAWN","Independent",6578,"Jharkhand","Jharkhand - Jamshedpur"
"UPENDRA KARMAKAR","Independent",6577,"Jharkhand","Jharkhand - Jamshedpur"
"SITA RAM TUDU","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",6576,"Jharkhand","Jharkhand - Jamshedpur"
"D.G.RAJA","Samajwadi Party",6574,"Jharkhand","Jharkhand - Jamshedpur"
"None of the Above","None of the Above",6573,"Jharkhand","Jharkhand - Jamshedpur"
"LAXMAN GILUWA","Bharatiya Janata Party",6592,"Jharkhand","Jharkhand - Singhbhum"
"GEETA KORA","Jai Bharat Samanta Party",6589,"Jharkhand","Jharkhand - Singhbhum"
"CHITRASEN SINKU","Indian National Congress",6585,"Jharkhand","Jharkhand - Singhbhum"
"DASHRATH GAGRAI","Jharkhand Vikas Morcha (Prajatantrik)",6593,"Jharkhand","Jharkhand - Singhbhum"
"SALKHAN MURMU","Jharkhand Disom Party",6590,"Jharkhand","Jharkhand - Singhbhum"
"JOHN MIRAN MUNDA","All India Forward Bloc",6588,"Jharkhand","Jharkhand - Singhbhum"
"SNEHLATA JOJO","Independent",6587,"Jharkhand","Jharkhand - Singhbhum"
"RAJENDRA PURTY","Jharkhand Party",6586,"Jharkhand","Jharkhand - Singhbhum"
"MANOHAR SINKU","Bahujan Samaj Party",6595,"Jharkhand","Jharkhand - Singhbhum"
"RUPSINGH HEMBROM","Independent",2316,"Jharkhand","Jharkhand - Singhbhum"
"NAVEEN MURMU","Rashtriya Deshaj Party",1732,"Jharkhand","Jharkhand - Singhbhum"
"BUDHRAM LAGURI","Bahujan Mukti Party",6594,"Jharkhand","Jharkhand - Singhbhum"
"None of the Above","None of the Above",6591,"Jharkhand","Jharkhand - Singhbhum"
"KARIA MUNDA","Bharatiya Janata Party",6602,"Jharkhand","Jharkhand - Khunti"
"ANOSH EKKA","Jharkhand Party",6600,"Jharkhand","Jharkhand - Khunti"
"KALI CHARAN MUNDA","Indian National Congress",6599,"Jharkhand","Jharkhand - Khunti"
"NEIL TIRKEY","AJSU Party",6603,"Jharkhand","Jharkhand - Khunti"
"BASANT KUMAR LONGA","Jharkhand Vikas Morcha (Prajatantrik)",6601,"Jharkhand","Jharkhand - Khunti"
"MAHADEV RAVINATH PAHAN","Rashtriya Deshaj Party",6598,"Jharkhand","Jharkhand - Khunti"
"DAYAMANI BARLA","Aam Aadmi Party",6597,"Jharkhand","Jharkhand - Khunti"
"JAITUN TUTI","Independent",6596,"Jharkhand","Jharkhand - Khunti"
"JITENDRA MANKI  ALIAS JITENDRA PRASAD MANKI","Independent",6608,"Jharkhand","Jharkhand - Khunti"
"SUBODH PURTY","Bahujan Samaj Party",6607,"Jharkhand","Jharkhand - Khunti"
"KALYAN NAG","Independent",6606,"Jharkhand","Jharkhand - Khunti"
"BUDAY MUNDA","Akhil Bhartiya Jharkhand Party",6605,"Jharkhand","Jharkhand - Khunti"
"NITIMA BODRA BARI","Samajwadi Party",6604,"Jharkhand","Jharkhand - Khunti"
"ASRITA TUTI","Independent",2226,"Jharkhand","Jharkhand - Khunti"
"None of the Above","None of the Above",681,"Jharkhand","Jharkhand - Khunti"
"SUDARSHAN BHAGAT","Bharatiya Janata Party",6614,"Jharkhand","Jharkhand - Lohardaga"
"RAMESHWAR ORAON","Indian National Congress",6613,"Jharkhand","Jharkhand - Lohardaga"
"CHAMRA LINDA","All India Trinamool Congress",6610,"Jharkhand","Jharkhand - Lohardaga"
"BIRENDRA BHAGAT","Jharkhand Vikas Morcha (Prajatantrik)",6615,"Jharkhand","Jharkhand - Lohardaga"
"LAL SAY KUMAR BHAGAT","Communist Party of India  (Marxist-Leninist)  (Liberation)",6611,"Jharkhand","Jharkhand - Lohardaga"
"JAYRAM INDWAR","Bahujan Samaj Party",6609,"Jharkhand","Jharkhand - Lohardaga"
"MAHENDRA  ORAON","Independent",6617,"Jharkhand","Jharkhand - Lohardaga"
"RANJIT ORAON","Independent",6616,"Jharkhand","Jharkhand - Lohardaga"
"NAWAL KISHOR SINGH","Independent",4041,"Jharkhand","Jharkhand - Lohardaga"
"None of the Above","None of the Above",6612,"Jharkhand","Jharkhand - Lohardaga"
"VISHNU DAYAL RAM","Bharatiya Janata Party",6624,"Jharkhand","Jharkhand - Palamau"
"MANOJ KUMAR","Rashtriya Janata Dal",6621,"Jharkhand","Jharkhand - Palamau"
"GHURAN RAM","Jharkhand Vikas Morcha (Prajatantrik)",6618,"Jharkhand","Jharkhand - Palamau"
"KAMESHWAR BAITHA","All India Trinamool Congress",6622,"Jharkhand","Jharkhand - Palamau"
"RAMPATI RANJAN","Bahujan Samaj Party",6620,"Jharkhand","Jharkhand - Palamau"
"SHYAM LAL RAM","Independent",6628,"Jharkhand","Jharkhand - Palamau"
"RAVINDRA KUMAR RAVI","Independent",6627,"Jharkhand","Jharkhand - Palamau"
"SHUSHMA MEHTA","Communist Party of India  (Marxist-Leninist)  (Liberation)",3627,"Jharkhand","Jharkhand - Palamau"
"JORAWAR RAM","Janata Dal  (United)",461,"Jharkhand","Jharkhand - Palamau"
"VINOD RAM","Independent",1309,"Jharkhand","Jharkhand - Palamau"
"ASHOK  RAM","Independent",6626,"Jharkhand","Jharkhand - Palamau"
"RAM BADAN RAM","Samajwadi Party",6625,"Jharkhand","Jharkhand - Palamau"
"LALDEO RAM","Bahujan Mukti Party",6623,"Jharkhand","Jharkhand - Palamau"
"None of the Above","None of the Above",6619,"Jharkhand","Jharkhand - Palamau"
"JAYANT SINHA","Bharatiya Janata Party",6636,"Jharkhand","Jharkhand - Hazaribagh"
"SAURABH NARAIN SINGH","Indian National Congress",6631,"Jharkhand","Jharkhand - Hazaribagh"
"LOKNATH MAHTO","AJSU Party",6630,"Jharkhand","Jharkhand - Hazaribagh"
"ARUN KUMAR MISHRA","Jharkhand Vikas Morcha (Prajatantrik)",6634,"Jharkhand","Jharkhand - Hazaribagh"
"BHUVNESHWAR PRASAD MEHTA","Communist Party of India",6633,"Jharkhand","Jharkhand - Hazaribagh"
"BADRI GOPE","Independent",6629,"Jharkhand","Jharkhand - Hazaribagh"
"JAVED ISLAM","Communist Party of India  (Marxist-Leninist)  (Liberation)",6641,"Jharkhand","Jharkhand - Hazaribagh"
"AJIT KUMAR SINGH","All India Trinamool Congress",1428,"Jharkhand","Jharkhand - Hazaribagh"
"TETRI @ SHEELA DEVI","Bahujan Samaj Party",6640,"Jharkhand","Jharkhand - Hazaribagh"
"PRAYAG PRASAD","Independent",6639,"Jharkhand","Jharkhand - Hazaribagh"
"MITHILESH KUMAR DANGI","Aam Aadmi Party",5521,"Jharkhand","Jharkhand - Hazaribagh"
"BALDEO GANJHU","Independent",951,"Jharkhand","Jharkhand - Hazaribagh"
"DR. DHIRENDRA KUMAR RAJ","Independent",6638,"Jharkhand","Jharkhand - Hazaribagh"
"RAMESHWAR RAM KUSHWAHA","All India Forward Bloc",6637,"Jharkhand","Jharkhand - Hazaribagh"
"MAHENDRA KISHOR MEHTA","Independent",5693,"Jharkhand","Jharkhand - Hazaribagh"
"YASHPAL YADAV","Independent",725,"Jharkhand","Jharkhand - Hazaribagh"
"RAMAVTAR MAHTO","Independent",1039,"Jharkhand","Jharkhand - Hazaribagh"
"MO. SHANUL HAQUE","Indian Union Muslim League",6635,"Jharkhand","Jharkhand - Hazaribagh"
"PRAMOD KUMAR MAHTHA","Pragatisheel Magahi Samaj",5155,"Jharkhand","Jharkhand - Hazaribagh"
"ABDUL RAHIM","Bahujan Mukti Party",6632,"Jharkhand","Jharkhand - Hazaribagh"
"None of the Above","None of the Above",2458,"Jharkhand","Jharkhand - Hazaribagh"
"MALA RAJYA LAXMI SHAH","Bharatiya Janata Party",6649,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"SAKET BAHUGUNA","Indian National Congress",6648,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"ANOOP NAUTIYAL","Aam Aadmi Party",6647,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"SHISHPAL SINGH","Bahujan Samaj Party",6643,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"SOHAN PAL SINGH","Independent",6651,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"SHIV PRASAD DEOLI","Communist Party of India  (Marxist)",6650,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"GAURAV PUNDIR","Independent",6646,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"PREM SINGH YADAV","Independent",1457,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"JAPINDER SINGH","Rashtriya Lok Dal",6645,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"RAJU MAURYA","Independent",6644,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"NAVNEET SINGH GOSAIN","Rashtriya Uttarakhand Party",4295,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"JAI PRAKASH UPADHYAY","Independent",3027,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"BARHM DEV JHA","Independent",6133,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"HAJI MOHD. YOUSUF","Peace Party",2611,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"SATENDRA SHARMA","Naya Daur Party",3389,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"JAUHARI LAL SUMAN(MUNI)","Bharatiya Mool Niwasi Samaj Party",277,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"None of the Above","None of the Above",6642,"Uttarakhand","Uttarakhand - Tehri Garhwal"
"(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)","Bharatiya Janata Party",6654,"Uttarakhand","Uttarakhand - Garhwal"
"(DR) HARAK SINGH RAWAT","Indian National Congress",6652,"Uttarakhand","Uttarakhand - Garhwal"
"DHEER SINGH BISHT","Bahujan Samaj Party",6661,"Uttarakhand","Uttarakhand - Garhwal"
"INDRESH MAIKHURI","Communist Party of India  (Marxist-Leninist)  (Liberation)",6659,"Uttarakhand","Uttarakhand - Garhwal"
"(DR) RAKESH SINGH","Aam Aadmi Party",6658,"Uttarakhand","Uttarakhand - Garhwal"
"BHUPAL SINGH GUSAIN (UKD)","Independent",6657,"Uttarakhand","Uttarakhand - Garhwal"
"NARENDRA SINGH NEGI","Communist Party of India",6656,"Uttarakhand","Uttarakhand - Garhwal"
"ABDUL SALAM","Independent",6655,"Uttarakhand","Uttarakhand - Garhwal"
"RENU AGARWAL","Independent",6653,"Uttarakhand","Uttarakhand - Garhwal"
"ANUP NEGI","Independent",5212,"Uttarakhand","Uttarakhand - Garhwal"
"None of the Above","None of the Above",6660,"Uttarakhand","Uttarakhand - Garhwal"
"AJAY TAMTA","Bharatiya Janata Party",6666,"Uttarakhand","Uttarakhand - Almora"
"PRADEEP TAMTA","Indian National Congress",6665,"Uttarakhand","Uttarakhand - Almora"
"BAHADUR RAM DHAUNI","Bahujan Samaj Party",6662,"Uttarakhand","Uttarakhand - Almora"
"SAJJAN LAL TAMTA","Independent",6669,"Uttarakhand","Uttarakhand - Almora"
"HARISH CHANDRA ARYA","Aam Aadmi Party",6668,"Uttarakhand","Uttarakhand - Almora"
"BANSI RAM","Independent",6667,"Uttarakhand","Uttarakhand - Almora"
"VIJAY KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",648,"Uttarakhand","Uttarakhand - Almora"
"AMAR PRAKASH","UTTARAKHAND PARIVARTAN PARTY",6664,"Uttarakhand","Uttarakhand - Almora"
"BHAGAWATI PRASAD TRIKOTI","Samajwadi Party",2709,"Uttarakhand","Uttarakhand - Almora"
"None of the Above","None of the Above",6663,"Uttarakhand","Uttarakhand - Almora"
"BHAGAT SINGH KOSHYARI","Bharatiya Janata Party",6674,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"K.C.SINGH BABA","Indian National Congress",6672,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"LAIK AHMED","Bahujan Samaj Party",6673,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"BALLI SINGH CHEEMA","Aam Aadmi Party",6671,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"AVTAR SINGH","Samajwadi Party",6676,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"D.S.RAWAL","Bharat Ki Lok Jimmedar Party",5548,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"BHUWAN CHANDRA JOSHI","Independent",5067,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"SHEESHPALARYA","Ambedkar National Congress",3699,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"SHAKIL AHMED","Independent",5798,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"BHAGWAN SWAROOP","Independent",3340,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"KAILASH CHANDRA","Independent",1785,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"KAILASH PANDEY","Communist Party of India  (Marxist-Leninist)  (Liberation)",3374,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"RAM SINGH","Peace Party",5382,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"ASHARAM KASHYAP","Rashtriya mahan Gantantra Party",4927,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"KHASHTI SUYAL","Bhartiya Chaitanya Party",6675,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"None of the Above","None of the Above",6670,"Uttarakhand","Uttarakhand - Nainital-udhamsingh Nagar"
"RAMESH POKHRIYAL NISHANK","Bharatiya Janata Party",6687,"Uttarakhand","Uttarakhand - Hardwar"
"RENUKA RAWAT","Indian National Congress",6684,"Uttarakhand","Uttarakhand - Hardwar"
"HAJI MOHD ISLAM","Bahujan Samaj Party",6678,"Uttarakhand","Uttarakhand - Hardwar"
"KANCHAN CHOUDHRY","Aam Aadmi Party",6679,"Uttarakhand","Uttarakhand - Hardwar"
"ANITA SAINI","Samajwadi Party",6686,"Uttarakhand","Uttarakhand - Hardwar"
"RAZIA BEG","Independent",6683,"Uttarakhand","Uttarakhand - Hardwar"
"ISHWAR CHAND","Independent",6682,"Uttarakhand","Uttarakhand - Hardwar"
"JAI SINGH","Independent",5852,"Uttarakhand","Uttarakhand - Hardwar"
"ASRAF","Independent",1460,"Uttarakhand","Uttarakhand - Hardwar"
"D.D.SHARMA","Independent",6680,"Uttarakhand","Uttarakhand - Hardwar"
"BRIGADIER GOVIND PRASAD BARTHWAL VSM","Independent",5017,"Uttarakhand","Uttarakhand - Hardwar"
"ABDUL ALEEM","Independent",5034,"Uttarakhand","Uttarakhand - Hardwar"
"RAMNARESH YADAV","Kalyankari Jantantrik Party",6677,"Uttarakhand","Uttarakhand - Hardwar"
"MOHAR SINGH KATARIA","Independent",4728,"Uttarakhand","Uttarakhand - Hardwar"
"VISHAL CHAUDHARY","Shivsena",1588,"Uttarakhand","Uttarakhand - Hardwar"
"RAKESH","Independent",4330,"Uttarakhand","Uttarakhand - Hardwar"
"SANJAY GOYAL","Naya Daur Party",3772,"Uttarakhand","Uttarakhand - Hardwar"
"SUNIL","Independent",597,"Uttarakhand","Uttarakhand - Hardwar"
"PRAMOD RANA","Independent",395,"Uttarakhand","Uttarakhand - Hardwar"
"ANAND KUMAR VERMA","Hindustan Krantikari Dal",6688,"Uttarakhand","Uttarakhand - Hardwar"
"MUKESH SAINI","Bahujan Mukti Party",1969,"Uttarakhand","Uttarakhand - Hardwar"
"V. K. KAMPANI","Poorvanchal Rashtriya Congress",1983,"Uttarakhand","Uttarakhand - Hardwar"
"JAVED","Akhil Bharatiya Muslim League (Secular)",1903,"Uttarakhand","Uttarakhand - Hardwar"
